Smiles,Nr. of heavy atoms,mols,Formal Charge,Nr_of_wildcards
*c1ccc(C)c(C)c1*,8,<rdkit.Chem.rdchem.Mol object at 0x7f73bc8b2490>,0,2
*c1cccc2c1C1=Nc3cccc(*)c3C1C(=O)N2C,19,<rdkit.Chem.rdchem.Mol object at 0x7f73bec23140>,0,2
*c1ccc(*)c2c1C1=Nc3ccccc3C1C(=O)N2C,19,<rdkit.Chem.rdchem.Mol object at 0x7f73bc46bf40>,0,2
*c1cc2c(cc1*)-n1cccc1C1(C)CCCN21,17,<rdkit.Chem.rdchem.Mol object at 0x7f73bc2f47b0>,0,2
*c1ccc2c(c1)-n1ccc(*)c1C1(C)CCCN21,17,<rdkit.Chem.rdchem.Mol object at 0x7f73bc4342e0>,0,2
*c1ccc2c(C)c(C)c3c(*)ccnc3c2n1,16,<rdkit.Chem.rdchem.Mol object at 0x7f73bc490740>,0,2
*c1cnc2c(c1)c(C)c(C)c1ccc(*)nc12,16,<rdkit.Chem.rdchem.Mol object at 0x7f73bc495310>,0,2
*c1cc(*)c2c(c1)C(=O)C1=C2N(C)C2=C(C1)C(=O)CC(C)(C)C2,22,<rdkit.Chem.rdchem.Mol object at 0x7f73bc31c190>,0,2
*c1ccc(*)c(C(O)=C(F)S(=O)(=O)CC)c1,15,<rdkit.Chem.rdchem.Mol object at 0x7f73bc418f90>,0,2
*c1ccc(C(O)=C(F)S(=O)(=O)CC)c(*)c1,15,<rdkit.Chem.rdchem.Mol object at 0x7f73bc3aa420>,0,2
*C1=CC2C(C=O)=C(CO)NC2c2cc(*)ccc21,17,<rdkit.Chem.rdchem.Mol object at 0x7f73bc944120>,0,2
*C1=Cc2ccc(*)cc2C2NC(CO)=C(C=O)C12,17,<rdkit.Chem.rdchem.Mol object at 0x7f73bc3eccf0>,0,2
*c1c(C)cc(C)c(*)c1C#CC1=CC(O)CC(O)C1O,19,<rdkit.Chem.rdchem.Mol object at 0x7f73bc270580>,0,2
*c1ccc2c(c1)=[S+]c1cccc(*)c1[N-]N=2,15,<rdkit.Chem.rdchem.Mol object at 0x7f73bc24c6d0>,0,2
*c1ccc2c(c1)[N-]N=c1ccc(*)cc1=[S+]2,15,<rdkit.Chem.rdchem.Mol object at 0x7f73bc535070>,0,2
*c1cc(F)c2c(c1F)Oc1csc(*)c1O2,15,<rdkit.Chem.rdchem.Mol object at 0x7f73bc299d90>,0,2
*c1ccc(N2CC3=CCC4C(=O)N(C)C(=O)C4C3CO2)cc1*,22,<rdkit.Chem.rdchem.Mol object at 0x7f73bc30aab0>,0,2
*c1cccc(N2CC3=CCC4C(=O)N(C)C(=O)C4C3CO2)c1*,22,<rdkit.Chem.rdchem.Mol object at 0x7f73bc79bae0>,0,2
*c1cc2c(cc1*)C1CC3CN3N1C2=O,14,<rdkit.Chem.rdchem.Mol object at 0x7f73bc33e9d0>,0,2
*c1cc2c3c(c1*)C(C)(O)C(=O)C3=C1CCCN1CC2,19,<rdkit.Chem.rdchem.Mol object at 0x7f73bc364270>,0,2
*c1ccc2ccccc2c1C=Nc1c(C)n(C)n(*)c1=O,20,<rdkit.Chem.rdchem.Mol object at 0x7f73bc367c30>,0,2
*c1ccccc1C(=NCCC(=C)C=O)c1ccccc1*,20,<rdkit.Chem.rdchem.Mol object at 0x7f73bc3e1770>,0,2
*c1ccc(C(=NCCC(=C)C=O)c2ccccc2)c(*)c1,20,<rdkit.Chem.rdchem.Mol object at 0x7f73bc2e14d0>,0,2
*c1cc(C#N)cc(*)c1Cl,9,<rdkit.Chem.rdchem.Mol object at 0x7f73bc3e2260>,0,2
*c1cc(*)c2c(c1)C1(CCC=C(C)O1)OC2=O,16,<rdkit.Chem.rdchem.Mol object at 0x7f73bc2f0f20>,0,2
*c1cc(C2=[O+]CC(c3ccccc3)[B-](Cl)(Cl)O2)c(*)cc1C,21,<rdkit.Chem.rdchem.Mol object at 0x7f73b7f39d20>,0,2
*c1ccc(*)c([P-](=O)(c2ccccc2)=[N+](C=O)NC=O)c1,20,<rdkit.Chem.rdchem.Mol object at 0x7f73bc573ed0>,0,2
*c1cc(*)cc([P-](=O)(c2ccccc2)=[N+](C=O)NC=O)c1,20,<rdkit.Chem.rdchem.Mol object at 0x7f73bc32e340>,0,2
